Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
1,0.2551945353944726,0.11057473539447263,0.0,0.0,0.0,0.1446198,
2,0.2366855779386849,0.09047627793868489,0.0,0.0,0.0,0.14620930000000001,
3,0.21850122639115768,0.07073392639115769,0.0,0.0,0.0,0.1477673,
4,0.20063917412400795,0.05134857412400796,0.0,0.0,0.0,0.1492906,
5,0.18314454285492962,0.032370342854929623,0.0,0.0,0.0,0.1507742,
6,0.16601769489113474,0.013799394891134752,0.0,0.0,0.0,0.1522183,
7,0.15361845,0.0,0.0,0.0,0.0,0.15361845,
8,0.15303205,0.0,0.0,0.0,0.0,0.15303205,
9,0.15244839999999998,0.0,0.0,0.0,0.0,0.15244839999999998,
10,0.15186750000000002,0.0,0.0,0.0,0.0,0.15186750000000002,
11,0.1525243194049488,0.0012350194049487821,0.0,0.0,0.0,0.15128930000000002,
12,0.15192830000000002,0.0,0.0,0.0,0.0,0.15192830000000002,
13,0.151351,0.0,0.0,0.0,0.0,0.151351,
14,0.1507764,0.0,0.0,0.0,0.0,0.1507764,
15,0.15020445,0.0,0.0,0.0,0.0,0.15020445,
16,0.15018860252720506,0.000553402527205075,0.0,0.0,0.0,0.1496352,
17,0.14996285,0.0,0.0,0.0,0.0,0.14996285,
18,0.1493948,0.0,0.0,0.0,0.0,0.1493948,
19,0.14931035418220542,0.00048095418220543235,0.0,0.0,0.0,0.1488294,
20,0.14912255000000002,0.0,0.0,0.0,0.0,0.14912255000000002,
21,0.14855835,0.0,0.0,0.0,0.0,0.14855835,
22,0.14877272259304733,0.0007759225930473216,0.0,0.0,0.0,0.1479968,
23,0.14842025,0.0,0.0,0.0,0.0,0.14842025,
24,0.14785979999999999,0.0,0.0,0.0,0.0,0.14785979999999999,
25,0.1473019,0.0,0.0,0.0,0.0,0.1473019,
26,0.14775011605428248,0.0010035160542824903,0.0,0.0,0.0,0.1467466,
27,0.1472687,0.0,0.0,0.0,0.0,0.1472687,
28,0.14671435,0.0,0.0,0.0,0.0,0.14671435,
29,0.14616255,0.0,0.0,0.0,0.0,0.14616255,
30,0.14570413406746802,9.088406746802965e-05,0.0,0.0,0.0,0.14561325,
31,0.1456714,0.0,0.0,0.0,0.0,0.1456714,
32,0.14614150750969146,0.001017157509691439,0.0,0.0,0.0,0.14512435,
33,0.1456482,0.0,0.0,0.0,0.0,0.1456482,
34,0.14510205,0.0,0.0,0.0,0.0,0.14510205,
35,0.1445584,0.0,0.0,0.0,0.0,0.1445584,
36,0.144053112185502,3.5862185501992866e-05,0.0,0.0,0.0,0.14401725,
37,0.14404,0.0,0.0,0.0,0.0,0.14404,
38,0.14475833432955088,0.0012571343295508797,0.0,0.0,0.0,0.1435012,
39,0.14412635,0.0,0.0,0.0,0.0,0.14412635,
40,0.1435883,0.0,0.0,0.0,0.0,0.1435883,
41,0.1430527,0.0,0.0,0.0,0.0,0.1430527,
42,0.14251955,0.0,0.0,0.0,0.0,0.14251955,
43,0.14246486870287745,0.0004760187028774491,0.0,0.0,0.0,0.14198885,
44,0.1422649,0.0,0.0,0.0,0.0,0.1422649,
45,0.14173534999999998,0.0,0.0,0.0,0.0,0.14173534999999998,
46,0.14201710669388357,0.0008088566938835603,0.0,0.0,0.0,0.14120825,
47,0.14162935000000001,0.0,0.0,0.0,0.0,0.14162935000000001,
48,0.14110319999999998,0.0,0.0,0.0,0.0,0.14110319999999998,
49,0.14057945,0.0,0.0,0.0,0.0,0.14057945,
50,0.14093166389321254,0.0008735638932125293,0.0,0.0,0.0,0.14005810000000002,
51,0.14050449999999998,0.0,0.0,0.0,0.0,0.14050449999999998,
52,0.13998405,0.0,0.0,0.0,0.0,0.13998405,
53,0.139466,0.0,0.0,0.0,0.0,0.139466,
54,0.13956198631716532,0.0006116863171653127,0.0,0.0,0.0,0.1389503,
55,0.13927945,0.0,0.0,0.0,0.0,0.13927945,
56,0.1387648,0.0,0.0,0.0,0.0,0.1387648,
57,0.13850903376808563,0.00025653376808563164,0.0,0.0,0.0,0.1382525,
58,0.13840755,0.0,0.0,0.0,0.0,0.13840755,
59,0.13820814677592702,0.00031139677592702714,0.0,0.0,0.0,0.13789674999999998,
60,0.13808395,0.0,0.0,0.0,0.0,0.13808395,
61,0.1376520792995177,7.752929951768313e-05,0.0,0.0,0.0,0.13757455000000002,
62,0.1376219,0.0,0.0,0.0,0.0,0.1376219,
63,0.13819801121015923,0.0010834612101592238,0.0,0.0,0.0,0.13711455,
64,0.1376453,0.0,0.0,0.0,0.0,0.1376453,
65,0.13713865,0.0,0.0,0.0,0.0,0.13713865,
66,0.13663430000000001,0.0,0.0,0.0,0.0,0.13663430000000001,
67,0.13613224999999998,0.0,0.0,0.0,0.0,0.13613224999999998,
68,0.13680255643763395,0.001170056437633941,0.0,0.0,0.0,0.13563250000000002,
69,0.13619655,0.0,0.0,0.0,0.0,0.13619655,
70,0.1356974,0.0,0.0,0.0,0.0,0.1356974,
71,0.1352005,0.0,0.0,0.0,0.0,0.1352005,
72,0.1347059,0.0,0.0,0.0,0.0,0.1347059,
73,0.13501738387999915,0.0008038338799991607,0.0,0.0,0.0,0.13421355,
74,0.1346152,0.0,0.0,0.0,0.0,0.1346152,
75,0.13412364999999998,0.0,0.0,0.0,0.0,0.13412364999999998,
76,0.13363435,0.0,0.0,0.0,0.0,0.13363435,
77,0.1340265752540167,0.000879275254016676,0.0,0.0,0.0,0.13314730000000002,
78,0.13357895,0.0,0.0,0.0,0.0,0.13357895,
79,0.13309265,0.0,0.0,0.0,0.0,0.13309265,
80,0.1326086,0.0,0.0,0.0,0.0,0.1326086,
81,0.13268683329609643,0.0005601332960964101,0.0,0.0,0.0,0.1321267,
82,0.1324181,0.0,0.0,0.0,0.0,0.1324181,
83,0.13193725,0.0,0.0,0.0,0.0,0.13193725,
84,0.13191423364214824,0.000455633642148238,0.0,0.0,0.0,0.1314586,
85,0.1317038,0.0,0.0,0.0,0.0,0.1317038,
86,0.13122625,0.0,0.0,0.0,0.0,0.13122625,
87,0.1316385770903806,0.0008877270903806078,0.0,0.0,0.0,0.13075085,
88,0.13118005,0.0,0.0,0.0,0.0,0.13118005,
89,0.13070535,0.0,0.0,0.0,0.0,0.13070535,
90,0.1302328,0.0,0.0,0.0,0.0,0.1302328,
91,0.13027686095638202,0.0005144109563820128,0.0,0.0,0.0,0.12976245,
92,0.1300296,0.0,0.0,0.0,0.0,0.1300296,
93,0.12956025000000002,0.0,0.0,0.0,0.0,0.12956025000000002,
94,0.12973167806625951,0.0006386280662595093,0.0,0.0,0.0,0.12909305000000001,
95,0.129412,0.0,0.0,0.0,0.0,0.129412,
96,0.12894565,0.0,0.0,0.0,0.0,0.12894565,
97,0.1286004916991758,0.00011899169917578926,0.0,0.0,0.0,0.12848150000000003,
98,0.1285498,0.0,0.0,0.0,0.0,0.1285498,
99,0.12898444159031688,0.0008970415903168789,0.0,0.0,0.0,0.12808740000000002,
100,0.12851369999999998,0.0,0.0,0.0,0.0,0.12851369999999998,
101,0.1280519,0.0,0.0,0.0,0.0,0.1280519,
