Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
1,Rd,-0.0005005792776186513,-0.0004941242776186517,0.0,0.0,0.0,-6.454999999999655e-06,Ibias,-385.33859070592695,-549.3838981492852,0.0,0.0,0.0,164.0453074433627,W1,-255.6810051060449,-315.5407213502176,0.0,0.0,0.0,59.859716244216976,W2,-406.6087772929509,-1681.3066871555025,0.0,0.0,0.0,1274.6979098627783,Alo,-0.7118217652872393,-0.7118217652872305,0.0,0.0,0.0,0.0,
2,Rd,-0.000485369233302298,-0.00047861119874937784,0.0,0.0,0.0,-6.758034552920115e-06,Ibias,-371.3003645087835,-532.7346199316829,0.0,0.0,0.0,161.4342554228972,W1,-257.1279293898529,-319.5561812215699,0.0,0.0,0.0,62.4282518317612,W2,-370.0992354220972,-1678.43539760592,0.0,0.0,0.0,1308.3361621839358,Alo,-0.7028271635099744,-0.7028271635099789,0.0,0.0,0.0,0.0,
3,Rd,-0.0004704386523801725,-0.0004633661046489549,0.0,0.0,0.0,-7.072547731217561e-06,Ibias,-357.98372973345124,-516.7833946607442,0.0,0.0,0.0,158.79966492728866,W1,-257.9743015678337,-323.0446173143151,0.0,0.0,0.0,65.07031574648137,W2,-342.1221075297291,-1684.155200580144,0.0,0.0,0.0,1342.0330930503587,Alo,-0.6936016758381789,-0.6936016758381832,0.0,0.0,0.0,0.0,
4,Rd,-0.0004562619827704013,-0.0004488738198978112,0.0,0.0,0.0,-7.388162872590151e-06,Ibias,-344.6505969719562,-500.80154544632853,0.0,0.0,0.0,156.15094847437447,W1,-261.97362028751263,-329.7592988523352,0.0,0.0,0.0,67.7856785648446,W2,-312.2015135213408,-1688.177694948492,0.0,0.0,0.0,1375.9761814271512,Alo,-0.6849323471797374,-0.6849323471797416,0.0,0.0,0.0,0.0,
5,Rd,-0.00044179833332025337,-0.0004340758040203273,0.0,0.0,0.0,-7.722529299926098e-06,Ibias,-330.721300880769,-484.1988751964355,0.0,0.0,0.0,153.4775743156654,W1,-261.7362125206028,-332.2301188277608,0.0,0.0,0.0,70.49390630713597,W2,-281.15845509084517,-1690.716226857352,0.0,0.0,0.0,1409.557771766507,Alo,-0.6754183026577218,-0.6754183026577197,0.0,0.0,0.0,0.0,
6,Rd,-0.0004279729872341903,-0.00041992082848831675,0.0,0.0,0.0,-8.052158745872652e-06,Ibias,-317.6828103966054,-468.48520839496257,0.0,0.0,0.0,150.80239799835613,W1,-261.0876921831355,-334.36279461095364,0.0,0.0,0.0,73.27510242779609,W2,-257.91485244689375,-1700.8980926763227,0.0,0.0,0.0,1442.983240229457,Alo,-0.6665618917501207,-0.6665618917501249,0.0,0.0,0.0,0.0,
7,Rd,-0.00041423652554153164,-0.0004058421639054741,0.0,0.0,0.0,-8.394361636059628e-06,Ibias,-304.2583007593232,-452.3759013466094,0.0,0.0,0.0,148.11760058728592,W1,-260.2278215525018,-336.19841697167425,0.0,0.0,0.0,75.97059541916971,W2,-225.16709550475503,-1701.0022292059173,0.0,0.0,0.0,1475.8351337011134,Alo,-0.6558310318424312,-0.6558310318424306,0.0,0.0,0.0,0.0,
8,Rd,-8.743968242709312e-06,0.0,0.0,0.0,0.0,-8.743968242709312e-06,Ibias,145.42906080022587,0.0,0.0,0.0,0.0,145.42906080022587,W1,78.73892272241471,0.0,0.0,0.0,0.0,78.73892272241471,W2,1508.3346199509872,0.0,0.0,0.0,0.0,1508.3346199509872,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
9,Rd,-8.642161260717068e-06,0.0,0.0,0.0,0.0,-8.642161260717068e-06,Ibias,145.93901580719816,0.0,0.0,0.0,0.0,145.93901580719816,W1,77.96697104943156,0.0,0.0,0.0,0.0,77.96697104943156,W2,1500.4855389817756,0.0,0.0,0.0,0.0,1500.4855389817756,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
10,Rd,-8.540506143363218e-06,0.0,0.0,0.0,0.0,-8.540506143363218e-06,Ibias,146.44926950810682,0.0,0.0,0.0,0.0,146.44926950810682,W1,77.19443732635065,0.0,0.0,0.0,0.0,77.19443732635065,W2,1492.7837613975742,0.0,0.0,0.0,0.0,1492.7837613975742,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
11,Rd,-8.447452739627569e-06,0.0,0.0,0.0,0.0,-8.447452739627569e-06,Ibias,146.94513457499053,0.0,0.0,0.0,0.0,146.94513457499053,W1,76.4213272061028,0.0,0.0,0.0,0.0,76.4213272061028,W2,1484.826409222797,0.0,0.0,0.0,0.0,1484.826409222797,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
12,Rd,-0.00011267382018783869,-0.00010432773270908739,0.0,0.0,0.0,-8.34608747875208e-06,Ibias,-34.72611233200146,-182.1745433337722,0.0,0.0,0.0,147.44843100176936,W1,-249.86489094760285,-325.5917494916229,0.0,0.0,0.0,75.72685854401699,W2,-220.4330425981982,-1697.653237135492,0.0,0.0,0.0,1477.220194537256,Alo,-0.3615711537010088,-0.3615711537010115,0.0,0.0,0.0,0.0,
13,Rd,-8.475371561727616e-06,0.0,0.0,0.0,0.0,-8.475371561727616e-06,Ibias,146.59482135844473,0.0,0.0,0.0,0.0,146.59482135844473,W1,76.67782344720119,0.0,0.0,0.0,0.0,76.67782344720119,W2,1487.278762083761,0.0,0.0,0.0,0.0,1487.278762083761,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
14,Rd,-8.378790621565228e-06,0.0,0.0,0.0,0.0,-8.378790621565228e-06,Ibias,147.10306658081137,0.0,0.0,0.0,0.0,147.10306658081137,W1,75.90490260232882,0.0,0.0,0.0,0.0,75.90490260232882,W2,1479.4822692091957,0.0,0.0,0.0,0.0,1479.4822692091957,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
15,Rd,-8.282350503506966e-06,0.0,0.0,0.0,0.0,-8.282350503506966e-06,Ibias,147.60416447599746,0.0,0.0,0.0,0.0,147.60416447599746,W1,75.13141481058184,0.0,0.0,0.0,0.0,75.13141481058184,W2,1471.8358275434114,0.0,0.0,0.0,0.0,1471.8358275434114,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
16,Rd,-8.19024107295237e-06,0.0,0.0,0.0,0.0,-8.19024107295237e-06,Ibias,148.1053969518169,0.0,0.0,0.0,0.0,148.1053969518169,W1,74.43655356228973,0.0,0.0,0.0,0.0,74.43655356228973,W2,1464.1377674152855,0.0,0.0,0.0,0.0,1464.1377674152855,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
17,Rd,-5.446762908203798e-05,-4.636936604872166e-05,0.0,0.0,0.0,-8.098263033317098e-06,Ibias,65.83767806648497,-82.76907451551659,0.0,0.0,0.0,148.60675258200018,W1,-238.8341346731366,-312.496120572713,0.0,0.0,0.0,73.66198589956763,W2,-215.46541198926545,-1671.6499833127984,0.0,0.0,0.0,1456.1845713234804,Alo,-0.16102287161586942,-0.16102287161587212,0.0,0.0,0.0,0.0,
